Name,IATA,ICAO,Country,Active
Leconte Airlines,,LCA,United States,N
Leeward Islands Air Transport,LI,LIA,Antigua and Barbuda,Y
Legend Airlines,,LGD,United States,N
Leisure Air,,LWD,United States,N
Lentini Aviation,,LEN,United States,N
Leo-Air,,LOR,South Africa,N
Leonsa De Aviacion,,LEL,Spain,N
Libyan Airlines,,LYW,Libya,N
Libyan Arab Airlines,LN,LAA,Libya,Y
Libyan Arab Air Cargo,,LCR,Libya,N
Lid Air,,LIQ,Sweden,N
Lignes Aeriennes Congolaises,,LCG,Democratic Republic of the Congo,N
Lignes Aeriennes Du Tchad,,LKD,Chad,N
Lignes Mauritaniennes Air Express,,LME,Mauritania,N
Lignes Nationales Aeriennes - Linacongo,,GCB,Republic of the Congo,N
Lincoln Air National Guard,,GDQ,United States,N
Lincoln Airlines,,LRT,Australia,N
Lindsay Aviation,,LSY,United States,N
Linea Aerea Costa Norte,,NOT,Chile,N
Linea Aerea Mexicana de Carga,,LMC,Mexico,N
Linea Aerea SAPSA,L7,LNP,Chile,N
Linea Aerea de Fumig Aguas Negras,,NEG,Chile,N
Linea Aerea de Servicio Ejecutivo Regional,8z,LER,Venezuela,N
Linea De Aeroservicios,,LSE,Chile,N
Linea Turistica Aerotuy,LD,TUY,Venezuela,N
Lineas Aereas Alaire S.L.,,ALR,Spain,N
Lineas Aereas Azteca,ZE,LCD,Mexico,N
Lineas Aereas Canedo LAC,,LCN,Bolivia,N
Lineas Aereas Comerciales,,LCM,Mexico,N
Lineas Aereas Ejectuivas De Durango,,EDD,Mexico,N
Lineas Aereas Eldorado,,EDR,Colombia,N
Lineas Aereas Federales,,FED,Argentina,N
Lineas Aereas Monarca,,LMN,Mexico,N
Lineas Aereas San Jose,,LIJ,Mexico,N
Lineas Aereas del Humaya,,UMA,Mexico,N
Linex,,LEC,Central African Republic,N
Linhas Aereas Santomenses,,SMS,S,N
Linhas A,LM,LAM,Mozambique,Y
Link Airways of Australia,,LAW,Australia,N
Lion Air Services,,WGT,United Kingdom,N
Lion Mentari Airlines,JT,LNI,Indonesia,Y
Lions-Air,,LEU,Switzerland,N
Lithuanian Air Force,,LYF,Lithuania,N
Little Red Air Service,,LRA,Canada,N
Livingston,LM,LVG,Italy,N
Lloyd Aereo Boliviano,LB,LLB,Bolivia,N
Lnair Air Services,,LNA,Spain,N
Lockheed Air Terminal,,XLG,United States,N
Lockeed Aircraft Corporation,,LAC,United States,N
Lockheed DUATS,,XDD,United States,N
Lockheed Martin Aeronautics,,CBD,United States,N
Lockheed Martin Aeronautics Company,,LNG,United States,N
Logan Air,,LOG,United Kingdom,N
Lom Praha Flying School,,CLV,Czech Republic,N
Lomas Helicopters,,LMS,United Kingdom,N
London City Airport Jet Centre,,LCY,United Kingdom,N
London Executive Aviation,,LNX,United Kingdom,N
London Flight Centre (Stansted),,LOV,United Kingdom,N
London Helicopter Centres,,LHC,United Kingdom,N
Lone Star Airlines,,LSS,United States,N
Long Island Airlines,,ORA,United States,N
Longtail Aviation,,LGT,Bermuda,N
Lorraine Aviation,,LRR,France,N
Los Cedros Aviacion,,LSC,Chile,N
Lotus Air,,TAS,Egypt,N
Luchtvaartmaatschappij Twente,,LTW,Netherlands,N
Lucky Air,,LKE,China,N
Luft Carago,,LUT,South Africa,N
Luftfahrt-Vermietungs-Dienst,,LVD,Austria,N
Luftfahrtgesellschaft Walter,HE,LGW,Germany,Y
Lufthansa,LH,DLH,Germany,Y
Lufthansa Cargo,LH,GEC,Germany,Y
Lufthansa CityLine,CL,CLH,Germany,Y
Lufthansa Systems,L1,,Germany,N
Lufthansa Technik,,LHT,Germany,N
Lufttaxi Fluggesellschaft,DV,LTF,Germany,N
Lufttransport,L5,LTR,Norway,Y
Luhansk,,LHS,Ukraine,N
Lund University School of Aviation,,UNY,Sweden,N
Luxair,LG,LGL,Luxembourg,Y
Luxaviation,,LXA,Luxembourg,N
Luxembourg Air Rescue,,LUV,Luxembourg,N
Luxflight Executive,,LFE,Luxembourg,N
Luxor Air,,LXO,Egypt,N
Luzair,,LUZ,Portugal,N
Lviv Airlines,5V,UKW,Ukraine,N
Lydd Air,,LYD,United Kingdom,N
Lynch Flying Service,,LCH,United States,N
Lynden Air Cargo,L2,LYC,United States,N
Lynx Air International,,LXF,United States,N
Lynx Aviation,,LYX,Pakistan,N
L,MJ,LPR,Argentina,Y
L,,LAU,Colombia,N
M & N Aviation,,JNH,United States,N
MAC Fotografica,,MCF,Spain,N
MANAG'AIR,,MRG,France,N
MAP-Management and Planung,,MPJ,Austria,N
MAS Airways,,TFG,United Kingdom,N
MasAir,M7,MAA,Mexico,Y
MAT Macedonian Airlines,IN,MAK,Macedonia,Y
MCC Aviation,,MCC,South Africa,N
MG Aviacion,,MGA,Spain,N
MIA Airlines,,JLA,Romania,N
MIAT Mongolian Airlines,OM,MGL,Mongolia,Y
MIT Airlines,,MNC,Canada,N
MK Airline,,MKA,Ghana,N
MNG Airlines,MB,MNB,Turkey,Y
MSR Flug-Charter,,EBF,Germany,N
MTC Aviacion,,MCV,Mexico,N
Mac Aviation,,MAQ,Spain,N
Mac Dan Aviation Corporation,,MCN,United States,N
MacKnight Airlines,,MTD,Australia,N
Macair Airlines,CC,MCK,Australia,Y
Macedonian Airlines,,MCS,Greece,N
Madina Air,,MDH,Libya,N
Maersk,DM,,Denmark,Y
Magic Blue Airlines,,MJB,Netherlands,N
Magna Air,,MGR,Austria,N
Mahalo Air,,MLH,United States,N
Mahan Air,W5,IRM,Iran,Y
Mahfooz Aviation,M2,MZS,Gambia,N
Maine Aviation,,MAT,United States,N
Majestic Airlines,,MAJ,United States,N
Mak Air,,AKM,Kazakhstan,N
Malagasy Airlines,,MLG,Madagascar,N
Malawi Express,,MLX,Malawi,N
Malaya Aviatsia Dona,,MKK,Russia,N
Malaysia Airlines,MH,MAS,Malaysia,Y
Mali Air,,MAE,Austria,N
Mali Air Express,,VXP,Mali,N
Mali Airways,,MTZ,Mali,N
Malila Airlift,,MLC,Democratic Republic of the Congo,N
Mall Airways,,MLS,United States,N
Malmo Aviation,,SCW,Sweden,Y
Malmoe Air Taxi,,LOD,Sweden,N
Malmö Aviation,TF,SCW,Sweden,Y
Malta Air Charter,R5,MAC,Malta,Y
Malta Wings,,MWS,Malta,N
Malév,MA,MAH,Hungary,Y
Manaf International Airways,,MLB,Burundi,N
Mandala Airlines,RI,MDL,Indonesia,Y
Mandarin Airlines,AE,MDA,Taiwan,Y
Mango,JE,MNO,South Africa,Y
Manhattan Air,,MHN,United Kingdom,N
Manitoulin Air Services,,MTO,Canada,N
Mann Air,,MNR,United Kingdom,N
Mannion Air Charter,,MAN,United States,N
Mantrust Asahi Airways,,MTS,Indonesia,N
Manx Airlines,,MNX,United Kingdom,N
Maple Air Services,,MAD,Canada,N
March Helicopters,,MAR,United Kingdom,N
Marcopolo Airways,,MCP,Afghanistan,N
Marghi Air,,MGI,Nigeria,N
Markair,,MRK,United States,N
Markoss Aviation,,MKO,United Kingdom,N
Mars RK,6V,MRW,Ukraine,N
Marshall Aerospace,,MCE,United Kingdom,N
Marsland Aviation,M7,MSL,Sudan,N
Martin Aviation Services,,XMA,United States,N
Martin-Baker,,MBE,United Kingdom,N
Martinair,MP,MPH,Netherlands,Y
Martinaire,,MRA,United States,N
Martyn Fiddler Associates,,MFA,United Kingdom,N
Marvin Limited,,MVN,United Kingdom,N
Maryland State Police,,TRP,United States,N
Massachusetts Institute of Technology,,MTH,United States,N
Massey University School of Aviation,,MSY,New Zealand,N
Master Airways,,MSW,Serbia,N
Master Planner,,MPL,United States,N
Masterjet,,LMJ,Portugal,N
Mastertop Linhas Aereas,Q4,,Brazil,N
Mauria,,MIA,Mauritania,N
Mauritanienne Aerienne Et Navale,,MNV,Mauritania,N
Mauritanienne Air Fret,,MRF,Mauritania,N
Mauritanienne Airways,,MWY,Mauritania,N
Mauritanienne De Transport Aerien,,MDE,Mauritania,N
Maverick Airways,,MVR,United States,N
Mavial Magadan Airlines,H5,MVL,Russia,N
Max Avia,,MAI,Kyrgyzstan,N
Max Sea Food,,MSF,El Salvador,N
Max-Aviation,,MAX,Canada,N
Maxair,8M,MXL,Sweden,Y
Maximus Air Cargo,,MXU,United Arab Emirates,N
Maxjet Airways,MY,MXJ,United States,N
Maxsus-Avia,,MXS,Uzbekistan,N
May Air Xpress,,MXP,United States,N
Maya Island Air,MW,MYD,Belize,Y
Mayair,,MYI,Mexico,N
Mbach Air,,MBS,Malawi,N
McAlpine Helicopters,,MCH,United Kingdom,N
McCall Aviation,,MKL,United States,N
McDonnell Douglas,,DAC,United States,N
McNeely Charter Services,,MDS,United States,N
Med-Trans of Florida,,MEK,United States,N
Medavia Company,,MDM,Malta,N
Medical Air Rescue Services,,MRZ,Zimbabwe,N
Medical Aviation Services,,MCL,United Kingdom,N
Mediterranean Air Freight,,MDF,Greece,N
Mediterranean Airways,,MDY,Egypt,N
Medjet International,,MEJ,United States,N
Mega,,MGK,Kazakhstan,N
Mega Linhas Aereas,,MEL,Brazil,N
Mekong Airlines,,MKN,Cambodia,N
Menajet,IM,MNJ,Lebanon,N
Merchant Express Aviation,,MXX,Nigeria,N
Mercury Aircourier Service,,MEC,United States,N
Meridian,,POV,Ukraine,N
Meridian Air Cargo,,MRD,United States,N
Meridian Airlines,,MHL,Nigeria,N
Meridian Aviation,,DSL,United Kingdom,N
Meridian Limited,,MEM,Ukraine,N
Meridiana,IG,ISS,Italy,Y
Merlin Airways,,MEI,United States,N
Merpati Nusantara Airlines,MZ,MNA,Indonesia,Y
Mesa Airlines,YV,ASH,United States,Y
Mesaba Airlines,XJ,MES,United States,Y
Meta Linhas A,,MSQ,Brazil,N
Meteorological Research Flight,,MET,United Kingdom,N
Methow Aviation,,MER,United States,N
Metro Business Aviation,,MVI,United Kingdom,N
Metro Express,,MEX,United States,N
Metroflight,,MTR,United States,N
Metrojet,,MTJ,Hong Kong SAR of China,N
Metropix UK,,PIX,United Kingdom,N
Metroplis,,MPS,Netherlands,N
Mex Blue,,MXB,Mexico,N
Mex-Jet,,MJT,Mexico,N
Mexicana de Aviaci,MX,MXA,Mexico,Y
Mexico Transportes Aereos,,MXT,Mexico,N
Miami Air Charter,,HUR,United States,N
Miami Air International,GL,BSK,United States,N
Miami Valley Aviation,,OWL,United States,N
Miapet-Avia,,MPT,Armenia,N
Michelin Air Services,,BIB,France,N
Micromatter Technology Solutions,,WIZ,United Kingdom,N
Mid Airlines,,NYL,Sudan,N
Mid-Pacific Airlines,,MPA,United States,N
Midamerica Jet,,MJR,United States,N
Middle East Airlines,ME,MEA,Lebanon,Y
Midland Airport Services,,MID,United Kingdom,N
Midline Air Freight,,MFR,United States,N
Midstate Airlines,,MIS,United States,N
Midway Airlines,JI,MDW,United States,Y
Midway Express,,FLA,United States,N
Midwest Air Freighters,,FAX,United States,N
Midwest Airlines,YX,MEP,United States,Y
Midwest Airlines (Egypt),MY,MWA,Egypt,Y
Midwest Aviation,,NIT,United States,N
Midwest Aviation Division,,MWT,United States,N
Midwest Helicopters De Mexico,,HTE,Mexico,N
Millardair,,MAB,Canada,N
Millen Corporation,,RJM,United Kingdom,N
Millennium Air,,MLK,Nigeria,N
Miller Flying Services,,MFS,United States,N
Million Air,,OXO,United States,N
Mimino,,MIM,Russia,N
Mina Airline Company,,NAB,Egypt,N
Minair,,OMR,Central African Republic,N
Minebea Technologies,,EBE,United States,N
Mines Air Services Zambia,,MAZ,Zambia,N
Miniliner,,MNL,Italy,N
Ministic Air,,MNS,Canada,N
Ministry of Agriculture,,WDG,WATCHDOG,N
Minsk Aircraft Overhaul Plant,,LIR,Belarus,N
Miramichi Air Service,,MIR,Canada,N
Miras,,MIF,Kazakhstan,N
Misr Overseas Airways,,MOS,Egypt,N
Mission Aviation Fellowship,,MAF,Indonesia,N
Missionair,,MSN,Spain,N
Missions Gouvernemtales Francaises,,MRN,France,N
Mississippi State University,,BDG,United States,N
Mississippi Valley Airways,,MVA,United States,N
Mistral Air,,MSA,Italy,N
Mobil Oil,,MBO,Canada,N
Mocambique Expresso,,MXE,Mozambique,N
Mofaz Air,,MFZ,Malaysia,N
Moldaeroservice,,MLE,Moldova,N
Moldavian Airlines,2M,MDV,Moldova,Y
Moldova,,MVG,Moldova,N
Mombasa Air Safari,,RRV,Kenya,N
Monarch Airlines,ZB,MON,United Kingdom,Y
Monarch Airlines,,MNH,United States,N
Myway Airlines,8I,,Italy,Y
Moncton Flying Club,,MFC,Canada,N
Monde Air Charters,,MDB,United Kingdom,N
Monerrey Air Taxi,,MTI,Mexico,N
Monky Aerotaxis,,MKY,Mexico,N
Montenegro Airlines,YM,MGX,Montenegro,Y
Montserrat Airways,,MNT,Montserrat,N
Mooney Aircraft Corporation,,MNY,United States,N
Morningstar Air Express,,MAL,Canada,Y
Morris Air Service,,MSS,United States,N
Morrison Flying Service,,MRO,United States,N
Moskovia Airlines,3R,GAI,Russia,Y
Mosphil Aero,,MPI,Philippines,N
Motor Sich,M9,MSI,Ukraine,Y
Mount Cook Airlines,NM,NZM,New Zealand,N
Mountain Air Cargo,,MTN,United States,N
Mountain Air Company,N4,MTC,Sierra Leone,N
Mountain Air Express,,PKP,United States,N
Mountain Air Service,,BRR,United States,N
Mountain Bird,,MBI,United States,N
Mountain High Aviation,,MHA,United States,N
Mountain Pacific Air,,MPC,Canada,N
Mountain Valley Air Service,,MTV,United States,N
Mowhawk Airlines,,MOW,United States,N
Mudan Airlines,,MDN,Somali Republic,N
Mudanjiang General Aviation,,CMJ,China,N
Multi Taxi,,MTX,Mexico,N
Multi-Aero,,WBR,United States,N
Multiflight,,MFT,,N
Murmansk Aircompany,,MNZ,Russia,N
Murray Air,,MUA,United States,N
Musrata Air Transport,,MMR,Libya,N
Mustique Airways,,MAW,Barbados,N
My Way Airlines,,MYW,Italy,N
MyTravel Airways,VZ,MYT,United Kingdom,Y
Myanma Airways,UB,UBA,Myanmar,Y
Myanmar Airways International,8M,MMM,Myanmar,Y
Myflug,,MYA,Iceland,Y
Mytravel Airways,,VKG,Denmark,N
NEL Cargo,,NLG,Ivory Coast,N
NHT Lineas Aereas,,NHG,Brazil,N
NZ Warbirds Association,,WAR,New Zealand,N
Nacoia Lda,,ANL,Angola,N
Nada Air Service,,NHZ,Chad,N
Compangnie Nationale Naganagani,,BFN,Burkina Faso,N
Nahanni Air Services Ltd,,NAH,Canada,N
Nakheel Aviation,,NKL,United Arab Emirates,N
Namibia Commerical Aviation,,MRE,Namibia,N
Namibian Defence Force,,NDF,Namibia,N
Nanjing Airlines,,CNJ,China,N
Nantucket Airlines,DV,ACK,United States,N
Nanyah Aviation,,NYA,Israel,N
Napier Air Service Inc,,NAP,United States,N
Nas Air,,NCM,Angola,N
Nas Air,P9,,Mali,N
Nasair,UE,NAS,Eritrea,Y
Nashville Jet Charters,,NJC,United States,N
Natalco Air Lines,,NCO,S,N
Natioanl Air Traffic Controllers Association,,NTK,United States,N
National Air Charter,,NSR,Indonesia,N
National Air Traffic Services,,RFI,United Kingdom,N
National Airlines,,NAN,United States,N
National Airlines,N4,NCN,Chile,N
National Airlines,N7,ROK,United States,N
National Airlines,NA,NAL,United States,N
National Airlines,,KUS,South Africa,N
National Airways Cameroon,9O,,Cameroon,N
National Airways Corporation,,LFI,South Africa,N
National Aviation Company,,GTY,Egypt,N
National Aviation Consultants,,TNC,Canada,N
National Express,,NXT,United States,N
National Grid,,GRD,United Kingdom,N
National Jet Express,,JTE,Australia,N
National Jet Service,,AND,United States,N
National Jet Systems,NC,NJS,Australia,Y
National Oceanic and Atmospheric Administration,,NAA,United States,N
National Overseas Airlines Company,,NOL,Egypt,N
Nationale Luchtvaartschool,,NLS,Netherlands,N
Nations Air Express Inc,,NAE,United States,N
Nationwide Airlines,CE,NTW,South Africa,Y
Nationwide Airlines (Zambia),,NWZ,Zambia,N
Natural Environment Research Council,,EVM,United Kingdom,N
Natureair,,NRR,Costa Rica,N
Naturelink Charter,,NRK,South Africa,N
Nauru Air Corporation,ON,RON,Nauru,Y
NAV CANADA,,NVC,Canada,N
Nav Flight Planning,,NAV,Czech Republic,N
Navegacao Aerea De Portugal,,NVP,Portugal,N
Navegacion Servicios Aereos Canarios SA,,NAY,Spain,N
Navid,,IRI,Iran,N
Naviera Mexicana,,NVM,Mexico,N
Navigator Airlines,,NVL,Armenia,N
Navinc Airlines Services,,XNV,United States,N
Navitaire,1N,,United States,N
Navtech System Support,,XNS,Canada,N
Nayzak Air Transport,,NZA,Libya,N
State of Nebraska,,NEB,United States,N
Necon Air,,NEC,Nepal,N
Nederlandse Kustwacht,,NCG,Netherlands,N
Nefteyugansk Aviation Division,,NFT,Russia,N
Neiltown Air,,NLA,Canada,N
Nelair Charters,,NLC,South Africa,N
Nelson Aviation College,,CGE,New Zealand,N
Nepal Airlines,RA,RNA,Nepal,Y
Neos,NO,NOS,Italy,N
Neosiam Airways,,TOX,Thailand,N
Neric,,NSL,United Kingdom,N
NetJets,1I,EJA,United States,Y
Network Aviation Services,,NET,Nigeria,N
New England Air Express,,NEZ,United States,N
New England Airlines,EJ,NEA,United States,Y
New Heights 291,,NHT,South Africa,N
New World Jet Corporation,,NWD,United States,N
New York Helicopter,,NYH,United States,N
New York State Police,,GRY,United States,N
New Zealand Air Defence Force,,KRC,New Zealand,N
Newair,,HVA,United States,N
Newfoundland Labrador Air Transport,,NLT,Canada,N
NextJet,2N,NTJ,Sweden,Y
Nextflight Aviation,,NXF,United States,N
Nexus Aviation,,NXS,Nigeria,N
Nicaraguense De Aviacion,,NIS,Nicaragua,N
Nicon Airways,,NCN,Nigeria,N
Nigeria Airways,,NGA,Nigeria,N
Nigerian Air Force,,NGR,Nigeria,N
Nigerian Global,,NGX,Nigeria,N
Night Express,,EXT,Germany,N
Niki,HG,NLY,Austria,Y
Nikolaev-Air,,NKV,Ukraine,N
Nile Safaris Aviation,,NSA,Sudan,N
Nile Valley Aviation Company,,NVA,Egypt,N
Nile Wings Aviation Services,,NLW,Sudan,N
Nimbus Aviation,,NBS,United Kingdom,N
Nippon Cargo Airlines,KZ,NCA,Japan,N
Nizhnevartovskavia,,NVK,Russia,N
Search and Rescue 202,,SRG,United Kingdom,N
Search and Rescue 22,,SRD,United Kingdom,N
No. 32 (The Royal) Squadron RAF,,NOH,United Kingdom,N
84 Squadron Royal Air Force @ RAF Akrotiri,,AKG,United Kingdom,N
Nobil Air,,NBL,Moldova,N
Nok Air,DD,NOK,Thailand,Y
Nolinor Aviation,,NRL,Canada,N
Nomad Aviation,,NMD,Namibia,N
Norcopter,,NOC,Norway,N
Nord-Flyg,,NEF,Sweden,N
Nordeste Linhas Aereas Regionais,JH,NES,Brazil,N
Nordic Regional,6N,NRD,Sweden,N
Nordic Solutions,,NVD,Lithuania,N
Nordstree (Australia),,NDS,Australia,N
Norestair,,NRT,Spain,N
Norfolk County Flight College,,NCF,United Kingdom,Y
Norontair,,NOA,Canada,N
Norrlandsflyg,,HMF,Sweden,N
Norse Air Charter,,NRX,South Africa,N
Norsk Flyrjeneste,,NIR,Norway,N
Norsk Helikopter,,NOR,Norway,N
Norsk Luftambulanse,,DOC,Norway,N
Nortavia,,RTV,Portugal,N
North Adria Aviation,,NAI,Croatia,N
North American Airlines,,NTM,Canada,Y
North American Charters,,HMR,Canada,Y
North American Jet Charter Group,,NAJ,United States,N
North Atlantic Air Inc,,NAT,United States,N
North Atlantic Cargo,,NFC,Norway,N
North British Airlines,,NBN,United Kingdom,N
North Caribou Flying Service Ltd,,NCB,Canada,N
North Coast Air Services Ltd,,NCC,Canada,N
North Coast Aviation,N9,,Papua New Guinea,N
North Flying,M3,NFA,Denmark,N
North Sea Airways,,NRC,Netherlands,N
North Star Air Cargo,,SBX,United States,N
North Vancouver Airlines,,NRV,Canada,N
North West Airlines,,NWW,Australia,N
North West Geomatics,,PTO,Canada,N
North-East Airlines,,NEN,Nigeria,N
North-West Air Transport Company - Vyborg,,VBG,Russia,N
North-Wright Airways,HW,NWL,Canada,N
Northafrican Air Transport,,NLL,Libya,N
Northaire Feight Lines,,NFL,United States,N
Northamptonshire School of Flying,,NSF,United Kingdom,N
Northcoast Executive Airlines,,NCE,United States,N
Northeast Airlines,,NEE,United States,N
Northeast Aviation,,NPX,United States,N
Northern Air Cargo,NC,NAC,United States,N
Northern Airlines Sanya,,BYC,China,N
Northern Airways,,NDA,United States,N
Northern Aviation Service,,CMU,Thailand,N
Northern Dene Airways,U7,,Canada,Y
Northern Executive Aviation,,NEX,United Kingdom,N
Northern Illinois Commuter,,NIC,United States,N
Northern Jet Management,,NTX,United States,N
Northern Thunderbird Air,,NTA,Canada,N
Northland Aviation,,KOE,United States,N
Northstar Aviation,,NSS,United States,N
Northumbria Helicopters,,NHL,United Kingdom,N
Northway Aviation Ltd,,NAL,Canada,N
Northwest Aero Associates,,NWE,United States,N
Northwest Airlines,NW,NWA,United States,Y
Northwest Regional Airlines,FY,NWR,Australia,N
Northwest Territorial Airways,,NWT,Canada,N
Northwestern Air,J3,PLR,Canada,Y
Northwinds Northern,,NWN,Canada,N
Nortland Air Manitoba,,NAM,Canada,N
Norwegian Air Shuttle,DY,NAX,Norway,Y
Norwegian Aviation College,,TFN,Norway,Y
Notams International,,XNT,United States,N
Nouvel Air Tunisie,BJ,LBT,Tunisia,Y
Nova Airline,M4,NOV,Sudan,N
Nova Scotia Department of Lands and Forests,,PTR,Canada,N
Novair,1I,NVR,Sweden,Y
Novogorod Air Enterprise,,NVG,Russia,N
Novosibirsk Aircraft Repairing Plant,,NSP,Russia,N
Novosibirsk Aviaenterprise,,NBE,Russia,N
Novosibirsk Aviation Production Association,,NPO,Russia,N
Noy Aviation,,NOY,Israel,N
Nuevo Continente,N6,ACQ,Peru,N
Nuevo Horizonte Internacional,,NHR,Mexico,N
Nunasi-Central Airlines,,NUN,Canada,N
Nurman Avia Indopura,,NIN,Indonesia,N
Nyasa Express,,NYS,Malawi,N
Nas Air,XY,KNE,Saudi Arabia,Y
O Air,,OCN,France,N
O'Connor Airlines,UQ,OCM,Australia,N
OAG,CR,,United Kingdom,N
OSACOM,,JPA,United States,N
Oasis Hong Kong Airlines,O8,OHK,Hong Kong,Y
Ocean Air,,BCN,Mauritania,Y
Ocean Airlines,VC,VCX,Italy,N
Ocean Sky (UK),,OCS,United Kingdom,N
Ocean Wings Commuter Service,,TUK,United States,N
Oceanair,O6,ONE,Brazil,Y
Oceanic Airlines,O2,,Guinea,Y
Odessa Airlines,,ODS,Ukraine,N
Odyssey International,,ODY,Canada,N
Office Federal De'Aviation Civile,,FOC,Switzerland,N
Ogooue Air Cargo,,GBO,Gabon,N
Okada Airlines,,OKJ,Nigeria,N
Okapi Airways,,OKP,Democratic Republic of Congo,N
Okay Airways,,OKA,China,N
Oklahoma Department of Public Safety,,OKL,United States,N
Olimex Aerotaxi,,OLX,Czech Republic,N
Olimp Air,,KVK,Kazakhstan,N
Olympic Airlines,OA,OAL,Greece,Y
Olympic Aviation,,OLY,Greece,N
Oman Air,WY,OMA,Oman,Y
Oman Royal Flight,,ORF,Oman,N
Omni - Aviacao e Tecnologia,,OAV,Portugal,N
Omni Air International,OY,OAE,United States,Y
Omniflys,,OMF,Mexico,N
Omskavia Airline,N3,OMS,Russia,N
On Air Limited,,ORL,Canada,N
One Two Go Airlines,,OTG,Thailand,Y
Onetime Airlines Zambia,,OTM,Zambia,N
Ontario Ministry of Health,,MED,Canada,N
Onur Air,8Q,OHY,Turkey,Y
Opal Air,,OPA,Australia,N
Open Sky Aviation,,OSA,Lebanon,N
OpenSkies,,BOS,United Kingdom,N
Operadora Turistica Aurora,,ORR,Mexico,N
Operadora de Lineas Ejecutivas,,OLE,Mexico,N
Operadora de Transportes Aereos,,OTP,Mexico,N
Operadora de Veulos Ejectutivos,,OPV,Mexico,N
Operation Enduring Freedom,,LLO,Canada,N
Operational Aviation Services,,OAX,Australia,N
Orange Air Services,,ORD,Sierra Leone,N
Orange Air Sierra Leone,,ORJ,Sierra Leone,N
Orange Aviation,,ORE,Israel,N
Orbit Express Airlines,,ORX,Turkey,N
Orca Air,,ORK,Egypt,N
Orebro Aviation,,BUE,Sweden,N
Orel State Air Enterprise,,ORM,Russia,N
Orenburg Airlines,R2,ORB,Russia,Y
Organizacion De Transportes Aereos,,OTA,Mexico,N
Organizacoes Mambra,,OML,Angola,N
Orient Air,,OVV,Syrian Arab Republic,N
Orient Airlines,,OTR,Sudan,N
Orient Airways,,ORN,Pakistan,N
Orient Thai Airlines,OX,OEA,Thailand,Y
Oriental Air Bridge,,NGK,Japan,N
Oriental Airlines,,OAC,Nigeria,N
Origin Pacific Airways,QO,OGN,New Zealand,Y
Orion Air Charter,,OED,South Africa,N
Orion-x,,OIX,Russia,N
Orlan-2000,,KOV,Kazakhstan,N
Ornage Aircraft Leasing,,RNG,Netherlands,N
Orscom Tourist Installations Company,,OAD,Egypt,N
Osh Avia,,OSH,Kyrgyzstan,N
Ostend Air College,,OCO,Belgium,N
Ostfriesische Lufttransport,OL,OLT,Germany,Y
Oulun Tilauslento,,FNL,Finland,N
Our Airline,ON,RON,Nauru,N
Out Of The Blue Air Safaris,,OOT,South Africa,N
Overland Airways,OJ,OLA,Nigeria,Y
Oxaero,,OXE,United Kingdom,N
Oxford Air Services,,WDK,United Kingdom,N
Oxley Aviation,,OAA,Australia,N
Ozark Air Lines,OZ,OZR,United States,N
Ozjet Airlines,O7,OZJ,Australia,Y
P & P Floss Pick Manufacturers,,KTL,South Africa,N
PAC Air,,PCR,United States,N
PAN Air,PV,PNR,Spain,Y
PB Air,9Q,PBA,Thailand,Y
PDQ Air Charter,,PDQ,United States,N
PHH Aviation System,,XAS,United States,N
PLM Dollar Group,,PDG,United Kingdom,N
PLUNA,PU,PUA,Uruguay,Y
PMTair,U4,PMT,Cambodia,Y
PRT Aviation,,PRP,Spain,N
PSA Airlines,,JIA,United States,N
PTL Luftfahrtunternehemen,,KST,Germany,N
Paccair,,WIS,United States,N
Pace Airlines,Y5,PCE,United States,N
Pacific Air Boats,,PAB,Canada,N
Pacific Air Charter,,PRC,United States,N
Pacific Air Express,,PCF,United States,N
Pacific Air Transport,,PXP,United States,N
Jetstar Pacific,BL,PIC,Vietnam,Y
Pacific Alaska Airlines,,PAK,United States,N
Pacific Aviation (Australia),,PCV,Australia,N
Pacific Aviation (United States),,PCX,United States,N
Pacific Blue,DJ,PBN,New Zealand,N
Pacific Coast Airlines,,PQA,United States,N
Pacific Coastal Airline,8P,PCO,Canada,Y
Pacific East Asia Cargo Airlines,Q8,PEC,Philippines,Y
Pacific Flight Services,,PFA,Singapore,N
Pacific International Airlines,,PIN,United States,N
Pacific Island Aviation,,PSA,United States,Y
Pacific Jet,,PCJ,United States,N
Pacific Pearl Airways,,PPM,Philippines,N
Pacific Rim Airways,,PAR,Australia,N
Pacific Southwest Airlines,PS,PSX,United States,N
Pacific Wings,LW,NMI,United States,Y
Pacificair,GX,,Philippines,N
Pacificair Airlines,,PFR,United States,N
Package Express,,RCY,United States,N
Paisajes Espanoles,,PAE,Spain,N
Pak West Airlines,,PKW,United States,N
Pakistan International Airlines,PK,PIA,Pakistan,Y
Pakker Avio,,PKR,Estonia,N
Pal Aerolineas,,LPA,Mexico,N
Palau Asia Pacific Airlines,,PPC,Palau,N
Palau Trans Pacific Airline,GP,PTP,Palau,N
Palestinian Airlines,PF,PNW,Egypt,N
Palmer Aviation,,JSP,United Kingdom,N
Pamir Airways,NR,PIR,Afghanistan,N
Pan African Air Services,,PFN,Sierra Leone,N
Pan African Airways,,ODM,Kenya,N
Pan Air,,PAX,United States,N
Pan Am Weather Systems,,XPA,United States,N
Pan Am World Airways,,PWD,Dominican Republic,N
Pan American Airways,PA,PAA,United States,N
