IATA,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,Time Zone
LAY,Ladysmith Airport,Ladysmith,South Africa,-28.58169937,29.74970055,3548,2,U,Africa/Johannesburg
-,Middelburg Airport,Middelburg,South Africa,-25.68479919,29.44020081,4886,2,U,Africa/Johannesburg
MGH,Margate Airport,Margate,South Africa,-30.85740089,30.34300041,495,2,U,Africa/Johannesburg
-,Marble Hall Airport,Marble Hall,South Africa,-24.9890995,29.28310013,2980,2,U,Africa/Johannesburg
-,Majuba Power Station Airport,Majuba Power Station,South Africa,-27.07929993,29.7784996,5600,2,U,Africa/Johannesburg
LLE,Riverside Airport,Malalane,South Africa,-25.43000031,31.57670021,1024,2,U,Africa/Johannesburg
-,Morningside Farm Airport,Musina,South Africa,-25.7045002,26.9090004,4251,2,U,Africa/Johannesburg
MZQ,Mkuze Airport,Mkuze,South Africa,-27.62610054,32.04430008,400,2,U,Africa/Johannesburg
NCS,Newcastle Airport,Newcastle,South Africa,-27.77059937,29.9769001,4074,2,U,Africa/Johannesburg
-,Nylstroom Airfield,Nylstroom,South Africa,-24.68610001,28.43490028,3900,2,U,Africa/Johannesburg
OVG,Overberg Airport,Overberg,South Africa,-34.55490112,20.2507,52,2,U,Africa/Johannesburg
OUH,Oudtshoorn Airport,Oudtshoorn,South Africa,-33.60699844,22.18899918,1063,2,U,Africa/Johannesburg
PLZ,Port Elizabeth Airport,Port Elizabeth,South Africa,-33.98490143,25.61730003,226,2,U,Africa/Johannesburg
PBZ,Plettenberg Bay Airport,Plettenberg Bay,South Africa,-34.08816017,23.32872343,465,2,U,Africa/Johannesburg
PHW,Hendrik Van Eck Airport,Phalaborwa,South Africa,-23.93720055,31.15539932,1432,2,U,Africa/Johannesburg
-,Pietersburg Municipal Airport,Polokwane,South Africa,-23.92609978,29.4843998,4354,2,U,Africa/Johannesburg
JOH,Port St Johns Airport,Port Saint Johns,South Africa,-31.60589981,29.51980019,1227,2,U,Africa/Johannesburg
PZB,Pietermaritzburg Airport,Pietermaritzburg,South Africa,-29.64900017,30.39870071,2423,2,U,Africa/Johannesburg
NTY,Pilanesberg International Airport,Pilanesberg,South Africa,-25.33379936,27.17340088,3412,2,U,Africa/Johannesburg
PTG,Polokwane International Airport,Potgietersrus,South Africa,-23.845269,29.458615,4076,2,U,Africa/Johannesburg
PCF,Potchefstroom Airport,Potchefstroom,South Africa,-26.67099953,27.08189964,4520,2,U,Africa/Johannesburg
-,Parys Airport,Parys,South Africa,-26.88929939,27.5034008,4740,2,U,Africa/Johannesburg
UTW,Queenstown Airport,Queenstown,South Africa,-31.92020035,26.88220024,3637,2,U,Africa/Johannesburg
RCB,Richards Bay Airport,Richard's Bay,South Africa,-28.74099922,32.09209824,109,2,U,Africa/Johannesburg
-,Rustenburg Airport,Rustenburg,South Africa,-25.64430046,27.27109909,3700,2,U,Africa/Johannesburg
ROD,Robertson Airport,Robertson,South Africa,-33.81219864,19.90279961,640,2,U,Africa/Johannesburg
SBU,Springbok Airport,Springbok,South Africa,-29.68930054,17.93959999,2690,2,U,Africa/Johannesburg
ZEC,Secunda Airport,Secunda,South Africa,-26.52409935,29.17009926,5250,2,U,Africa/Johannesburg
-,Saldanha /Vredenburg Airport,Saldanha,South Africa,-32.96409988,17.96929932,50,2,U,Africa/Johannesburg
-,Springs Airfield,Springs,South Africa,-26.24940047,28.39827156,5340,2,U,Africa/Johannesburg
-,Swartkop Air Force Base,Swartkop,South Africa,-25.80970001,28.16460037,4780,2,U,Africa/Johannesburg
SIS,Sishen Airport,Sishen,South Africa,-27.64859962,22.9993,3848,2,U,Africa/Johannesburg
-,Hendrik Swellengrebel Airport,Swellendam,South Africa,-34.0481987,20.47459984,407,2,U,Africa/Johannesburg
SZK,Skukuza Airport,Skukuza,South Africa,-24.96089935,31.58869934,1020,2,U,Africa/Johannesburg
-,Tommys Field Airport,Tommy's Field,South Africa,-28.26000023,22.9932003,4360,2,U,Africa/Johannesburg
-,New Tempe Airport,Bloemfontein,South Africa,-29.03289986,26.1576004,4547,2,U,Africa/Johannesburg
-,Tutuka Power Station Airport,Tutuka,South Africa,-26.77659988,29.33880043,5313,2,U,Africa/Johannesburg
LTA,Tzaneen Airport,Tzaneen,South Africa,-23.82439995,30.32929993,1914,2,U,Africa/Johannesburg
ULD,Prince Mangosuthu Buthelezi Airport,Ulundi,South Africa,-28.32060051,31.41650009,1720,2,U,Africa/Johannesburg
UTN,Pierre Van Ryneveld Airport,Upington,South Africa,-28.39909935,21.2602005,2782,2,U,Africa/Johannesburg
UTT,K. D. Matanzima Airport,Umtata,South Africa,-31.54636318,28.6733551,2400,2,U,Africa/Johannesburg
VRU,Vryburg Airport,Vryburg,South Africa,-26.98240089,24.72879982,3920,2,U,Africa/Johannesburg
VIR,Virginia Airport,Durban,South Africa,-29.77059937,31.0583992,20,2,U,Africa/Johannesburg
VRE,Vredendal Airport,Vredendal,South Africa,-31.64100075,18.5447998,330,2,U,Africa/Johannesburg
-,Vereeniging Airport,Vereeniging,South Africa,-26.56640053,27.96080017,4846,2,U,Africa/Johannesburg
PRY,Wonderboom Airport,Pretoria,South Africa,-25.6539,28.224199,4095,2,U,Africa/Johannesburg
-,Witbank Airport,Witbank,South Africa,-25.83230019,29.19199944,5078,2,U,Africa/Johannesburg
WKF,Waterkloof Air Force Base,Waterkloof,South Africa,-25.82999992,28.22249985,4940,2,U,Africa/Johannesburg
-,Welkom Airport,Welkom,South Africa,-27.99682451,26.66333389,4421,2,U,Africa/Johannesburg
-,Ysterplaat Air Force Base,Ysterplaat,South Africa,-33.90019989,18.49830055,52,2,U,Africa/Johannesburg
-,Zeerust Airport,Zeerust,South Africa,-25.59900093,26.04229927,4258,2,U,Africa/Johannesburg
FRW,Francistown Airport,Francistown,Botswana,-21.1595993,27.47450066,3283,2,U,Africa/Gaborone
JWA,Jwaneng Airport,Jwaneng,Botswana,-24.60230064,24.69099998,3900,2,U,Africa/Gaborone
BBK,Kasane Airport,Kasane,Botswana,-17.83289909,25.16239929,3289,2,U,Africa/Gaborone
MUB,Maun Airport,Maun,Botswana,-19.97260094,23.43110085,3093,2,U,Africa/Gaborone
GBE,Sir Seretse Khama International Airport,Gaberone,Botswana,-24.555201,25.9182,3299,2,U,Africa/Gaborone
PKW,Selebi Phikwe Airport,Selebi-phikwe,Botswana,-22.0583,27.8288,2925,2,U,Africa/Gaborone
BZV,Maya-Maya Airport,Brazzaville,Congo (Brazzaville),-4.251699924,15.25300026,1048,1,N,Africa/Brazzaville
FTX,Owando Airport,Owando,Congo (Kinshasa),-0.531350017,15.95009995,1214,1,N,Africa/Brazzaville
OUE,Ouesso Airport,Ouesso,Congo (Kinshasa),1.615990043,16.03790092,1158,1,N,Africa/Brazzaville
PNR,Pointe Noire Airport,Pointe-noire,Congo (Brazzaville),-4.816030025,11.88659954,55,1,N,Africa/Brazzaville
MTS,Matsapha Airport,Manzini,Swaziland,-26.52899933,31.30750084,2075,2,U,Africa/Mbabane
BGF,Bangui M'Poko International Airport,Bangui,Central African Republic,4.398479939,18.51880074,1208,1,N,Africa/Bangui
BBT,Berbérati Airport,Berberati,Central African Republic,4.221580029,15.78639984,1929,1,N,Africa/Bangui
BSG,Bata Airport,Bata,Equatorial Guinea,1.905470014,9.805680275,13,1,N,Africa/Malabo
SSG,Malabo Airport,Malabo,Equatorial Guinea,3.755270004,8.708720207,76,1,N,Africa/Malabo
ASI,RAF Ascension Island,Wide Awake,Saint Helena,-7.9696,-14.3937,278,0,N,Atlantic/St_Helena
MRU,Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,-20.430201,57.683601,186,4,N,Indian/Mauritius
RRG,Sir Charles Gaetan Duval Airport,Rodriguez Island,Mauritius,-19.7577,63.361,95,4,N,Indian/Mauritius
NKW,Diego Garcia Naval Support Facility,Diego Garcia Island,British Indian Ocean Territory,-7.31327,72.411102,9,6,U,Indian/Chagos
TKC,Tiko Airport,Tiko,Cameroon,4.089190006,9.3605299,151,1,N,Africa/Douala
DLA,Douala International Airport,Douala,Cameroon,4.006080151,9.719479561,33,1,N,Africa/Douala
MVR,Salak Airport,Maroua,Cameroon,10.4513998,14.25739956,1390,1,N,Africa/Douala
FOM,Foumban Nkounja Airport,Foumban,Cameroon,5.636919975,10.75080013,3963,1,N,Africa/Douala
NGE,N'Gaoundéré Airport,N'gaoundere,Cameroon,7.357009888,13.55920029,3655,1,N,Africa/Douala
GOU,Garoua International Airport,Garoua,Cameroon,9.335889816,13.37010002,794,1,N,Africa/Douala
BFX,Bafoussam Airport,Bafoussam,Cameroon,5.536920071,10.35459995,4347,1,N,Africa/Douala
BPC,Bamenda Airport,Bamenda,Cameroon,6.039239883,10.1225996,4065,1,N,Africa/Douala
YAO,Yaoundé Airport,Yaounde,Cameroon,3.83604002,11.52350044,2464,1,N,Africa/Douala
CGJ,Kasompe Airport,Kasompe,Zambia,-12.57279968,27.89389992,4636,2,U,Africa/Lusaka
LVI,Livingstone Airport,Livingstone,Zambia,-17.82180023,25.8227005,3302,2,U,Africa/Lusaka
LUN,Kenneth Kaunda International Airport Lusaka,Lusaka,Zambia,-15.33080006,28.45260048,3779,2,U,Africa/Lusaka
MFU,Mfuwe Airport,Mfuwe,Zambia,-13.25889969,31.93659973,1853,2,U,Africa/Lusaka
MNR,Mongu Airport,Mongu,Zambia,-15.25450039,23.16230011,3488,2,U,Africa/Lusaka
NLA,Simon Mwansa Kapwepwe International Airport,Ndola,Zambia,-12.99810028,28.66489983,4167,2,U,Africa/Lusaka
KIW,Southdowns Airport,Southdowns,Zambia,-12.9005003,28.14990044,4145,2,U,Africa/Lusaka
HAH,Prince Said Ibrahim International Airport,Moroni,Comoros,-11.5337,43.2719,93,3,U,Indian/Comoro
NWA,Mohéli Bandar Es Eslam Airport,Moheli,Comoros,-12.29810047,43.76639938,46,3,U,Indian/Comoro
AJN,Ouani Airport,Anjouan,Comoros,-12.13169956,44.43030167,62,3,U,Indian/Comoro
DZA,Dzaoudzi Pamandzi International Airport,Dzaoudzi,Mayotte,-12.8046999,45.28110123,23,3,U,Indian/Mayotte
RUN,Roland Garros Airport,St.-denis,Reunion,-20.88710022,55.51029968,66,4,U,Indian/Reunion
ZSE,Pierrefonds Airport,St.-pierre,Reunion,-21.32089996,55.42499924,59,4,U,Indian/Reunion
TNR,Ivato Airport,Antananarivo,Madagascar,-18.7969,47.478802,4198,3,U,Indian/Antananarivo
ZVA,Miandrivazo Airport,Miandrivazo,Madagascar,-19.56279945,45.45080185,203,3,U,Indian/Antananarivo
SMS,Sainte Marie Airport,Sainte Marie,Madagascar,-17.09390068,49.81579971,7,3,U,Indian/Antananarivo
TMM,Toamasina Airport,Toamasina,Madagascar,-18.10950089,49.39250183,22,3,U,Indian/Antananarivo
MOQ,Morondava Airport,Morondava,Madagascar,-20.28470039,44.31760025,30,3,U,Indian/Antananarivo
DIE,Arrachart Airport,Antsiranana,Madagascar,-12.34939957,49.29169846,374,3,U,Indian/Antananarivo
WMR,Mananara Nord Airport,Mananara,Madagascar,-16.16390038,49.7737999,9,3,U,Indian/Antananarivo
ZWA,Andapa Airport,Andapa,Madagascar,-14.65170002,49.62060165,1552,3,U,Indian/Antananarivo
AMB,Ambilobe Airport,Ambilobe,Madagascar,-13.18840027,48.98799896,72,3,U,Indian/Antananarivo
ANM,Antsirabato Airport,Antalaha,Madagascar,-14.99940014,50.32020187,20,3,U,Indian/Antananarivo
HVA,Analalava Airport,Analalava,Madagascar,-14.62969971,47.76380157,345,3,U,Indian/Antananarivo
MJN,Amborovy Airport,Mahajanga,Madagascar,-15.66684174,46.35123253,87,3,U,Indian/Antananarivo
NOS,Fascene Airport,Nosy-be,Madagascar,-13.31210041,48.31480026,36,3,U,Indian/Antananarivo
BPY,Besalampy Airport,Besalampy,Madagascar,-16.7445303,44.48248386,125,3,U,Indian/Antananarivo
WMN,Maroantsetra Airport,Maroantsetra,Madagascar,-15.43669987,49.68830109,13,3,U,Indian/Antananarivo
SVB,Sambava Airport,Sambava,Madagascar,-14.27859974,50.17470169,20,3,U,Indian/Antananarivo
VOH,Vohimarina Airport,Vohemar,Madagascar,-13.37580013,50.00279999,19,3,U,Indian/Antananarivo
WAI,Ambalabe Airport,Antsohihy,Madagascar,-14.8987999,47.9939003,92,3,U,Indian/Antananarivo
IVA,Ampampamena Airport,Ampampamena,Madagascar,-13.484816,48.632702,49,3,U,Indian/Antananarivo
FTU,Tôlanaro Airport,Tolagnaro,Madagascar,-25.03809929,46.95610046,29,3,U,Indian/Antananarivo
WFI,Fianarantsoa Airport,Fianarantsoa,Madagascar,-21.4416008,47.11169815,3658,3,U,Indian/Antananarivo
RVA,Farafangana Airport,Farafangana,Madagascar,-22.80529976,47.8205986,26,3,U,Indian/Antananarivo
WVK,Manakara Airport,Manakara,Madagascar,-22.11969948,48.02170181,33,3,U,Indian/Antananarivo
MNJ,Mananjary Airport,Mananjary,Madagascar,-21.20179939,48.35829926,20,3,U,Indian/Antananarivo
MXM,Morombe Airport,Morombe,Madagascar,-21.75390053,43.37549973,16,3,U,Indian/Antananarivo
TLE,Toliara Airport,Toliara,Madagascar,-23.38339996,43.72850037,29,3,U,Indian/Antananarivo
SSY,Mbanza Congo Airport,M'banza-congo,Angola,-6.269899845,14.24699974,1860,1,N,Africa/Luanda
BUG,Benguela Airport,Benguela,Angola,-12.60900021,13.40369987,118,1,N,Africa/Luanda
CAB,Cabinda Airport,Cabinda,Angola,-5.596990108,12.18840027,66,1,N,Africa/Luanda
NOV,Nova Lisboa Airport,Huambo,Angola,-12.80889988,15.76049995,5587,1,N,Africa/Luanda
SVP,Kuito Airport,Kuito,Angola,-12.40460014,16.94739914,5618,1,N,Africa/Luanda
-,Lobito Airport,Lobito,Angola,-12.37119961,13.53660011,10,1,N,Africa/Luanda
LAD,Quatro de Fevereiro Airport,Luanda,Angola,-8.85837,13.2312,243,1,N,Africa/Luanda
MEG,Malanje Airport,Malanje,Angola,-9.525090218,16.31240082,3868,1,N,Africa/Luanda
SPP,Menongue Airport,Menongue,Angola,-14.6576004,17.71980095,4469,1,N,Africa/Luanda
GXG,Negage Airport,Negage,Angola,-7.754509926,15.2876997,4105,1,N,Africa/Luanda
PBN,Porto Amboim Airport,Porto Amboim,Angola,-10.72200012,13.76550007,16,1,N,Africa/Luanda
VHC,Saurimo Airport,Saurimo,Angola,-9.689069748,20.43190002,3584,1,N,Africa/Luanda
SZA,Soyo Airport,Soyo,Angola,-6.141089916,12.37180042,15,1,N,Africa/Luanda
SDD,Lubango Airport,Lubango,Angola,-14.92469978,13.57499981,5778,1,N,Africa/Luanda
LUO,Luena Airport,Luena,Angola,-11.76809978,19.89769936,4360,1,N,Africa/Luanda
UGO,Uige Airport,Uige,Angola,-7.603069782,15.02779961,2720,1,N,Africa/Luanda
XGN,Xangongo Airport,Xangongo,Angola,-16.7553997,14.96529961,3635,1,N,Africa/Luanda
OYE,Oyem Airport,Oyem,Gabon,1.543110013,11.58139992,2158,1,N,Africa/Libreville
OKN,Okondja Airport,Okondja,Gabon,-0.665214002,13.67310047,1325,1,N,Africa/Libreville
LBQ,Lambarene Airport,Lambarene,Gabon,-0.704388976,10.24569988,82,1,N,Africa/Libreville
BMM,Bitam Airport,Bitam,Gabon,2.075639963,11.4932003,1969,1,N,Africa/Libreville
POG,Port Gentil Airport,Port Gentil,Gabon,-0.711739004,8.754380226,13,1,N,Africa/Libreville
OMB,Omboue Hopital Airport,Omboue Hospial,Gabon,-1.574730039,9.26268959,33,1,N,Africa/Libreville
MKU,Makokou Airport,Makokou,Gabon,0.579210997,12.89089966,1726,1,N,Africa/Libreville
LBV,Libreville Leon M'ba International Airport,Libreville,Gabon,0.458600014,9.412280083,39,1,N,Africa/Libreville
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Gabon,-1.656159997,13.43799973,1450,1,N,Africa/Libreville
PCP,Principe Airport,Principe,Sao Tome and Principe,1.662940025,7.411739826,591,0,N,Africa/Sao_Tome
TMS,São Tomé International Airport,Sao Tome,Sao Tome and Principe,0.37817499,6.712150097,33,0,N,Africa/Sao_Tome
BEW,Beira Airport,Beira,Mozambique,-19.79640007,34.9076004,33,2,U,Africa/Maputo
INH,Inhambane Airport,Inhambane,Mozambique,-23.87639999,35.40850067,30,2,U,Africa/Maputo
VXC,Lichinga Airport,Lichinga,Mozambique,-13.274,35.2663,4505,2,U,Africa/Maputo
LFB,Lumbo Airport,Lumbo,Mozambique,-15.03310013,40.67169952,33,2,U,Africa/Maputo
MPM,Maputo Airport,Maputo,Mozambique,-25.920799,32.572601,145,2,U,Africa/Maputo
MUD,Mueda Airport,Mueda,Mozambique,-11.6729002,39.56309891,2789,2,U,Africa/Maputo
MZB,Mocímboa da Praia Airport,Mocimboa Da Praia,Mozambique,-11.36180019,40.35490036,89,2,U,Africa/Maputo
-,Marrupa Airport,Marrupa,Mozambique,-13.22509956,37.55210114,2480,2,U,Africa/Maputo
MNC,Nacala Airport,Nacala,Mozambique,-14.48820019,40.71220016,410,2,U,Africa/Maputo
APL,Nampula Airport,Nampula,Mozambique,-15.10560036,39.28179932,1444,2,U,Africa/Maputo
POL,Pemba Airport,Pemba,Mozambique,-12.99176216,40.52401352,331,2,U,Africa/Maputo
UEL,Quelimane Airport,Quelimane,Mozambique,-17.85549927,36.86909866,36,2,U,Africa/Maputo
-,Songo Airport,Songo,Mozambique,-15.60270023,32.77320099,2904,2,U,Africa/Maputo
TET,Chingozi Airport,Tete,Mozambique,-16.10479927,33.64020157,525,2,U,Africa/Maputo
-,Ulongwe Airport,Ulongwe,Mozambique,-14.70460033,34.35240173,4265,2,U,Africa/Maputo
VNX,Vilankulo Airport,Vilankulu,Mozambique,-22.01840019,35.31330109,46,2,U,Africa/Maputo
-,Alphonse Airport,Alphonse,Seychelles,-7.00478,52.7262,10,4,U,Indian/Mahe
DES,Desroches Airport,Desroches,Seychelles,-5.6967,53.6558,10,4,U,Indian/Mahe
-,Farquhar Airport,Farquhar,Seychelles,-10.1096,51.176102,10,4,U,Indian/Mahe
SEZ,Seychelles International Airport,Mahe,Seychelles,-4.67434,55.521801,10,4,U,Indian/Mahe
PRI,Praslin Airport,Praslin,Seychelles,-4.319290161,55.69139862,10,4,U,Indian/Mahe
-,Coetivy Airport,Coetivy,Seychelles,-7.13457,56.278198,10,4,U,Indian/Mahe
AEH,Abeche Airport,Abeche,Chad,13.84700012,20.84429932,1788,1,N,Africa/Ndjamena
MQQ,Moundou Airport,Moundou,Chad,8.624409676,16.07139969,1407,1,N,Africa/Ndjamena
NDJ,N'Djamena International Airport,N'djamena,Chad,12.1337,15.034,968,1,N,Africa/Ndjamena
FYT,Faya Largeau Airport,Faya-largeau,Chad,17.91710091,19.11109924,771,1,N,Africa/Ndjamena
BUQ,Joshua Mqabuko Nkomo International Airport,Bulawayo,Zimbabwe,-20.017401,28.617901,4359,2,U,Africa/Harare
-,Charles Prince Airport,Harare,Zimbabwe,-17.75160027,30.92469978,4845,2,U,Africa/Harare
BFO,Buffalo Range Airport,Chiredzi,Zimbabwe,-21.008101,31.5786,1421,2,U,Africa/Harare
VFA,Victoria Falls International Airport,Victoria Falls,Zimbabwe,-18.09589958,25.8390007,3490,2,U,Africa/Harare
HRE,Robert Gabriel Mugabe International Airport,Harare,Zimbabwe,-17.931801,31.0928,4887,2,U,Africa/Harare
KAB,Kariba International Airport,Kariba,Zimbabwe,-16.51980019,28.88500023,1706,2,U,Africa/Harare
-,Mutoko Airport,Mutoko,Zimbabwe,-17.43190002,32.18450165,3950,2,U,Africa/Harare
UTA,Mutare Airport,Mutare,Zimbabwe,-18.99749947,32.62720108,3410,2,U,Africa/Harare
MVZ,Masvingo International Airport,Masvingo,Zimbabwe,-20.05529976,30.85910034,3595,2,U,Africa/Harare
-,Zvishavane Airport,Zvishavane,Zimbabwe,-20.28949928,30.08819962,3012,2,U,Africa/Harare
GWE,Thornhill Air Base,Gwert,Zimbabwe,-19.43639946,29.86190033,4680,2,U,Africa/Harare
HWN,Hwange National Park Airport,Hwange National Park,Zimbabwe,-18.62989998,27.02099991,3543,2,U,Africa/Harare
BLZ,Chileka International Airport,Blantyre,Malawi,-15.67910004,34.97399902,2555,2,U,Africa/Blantyre
KGJ,Karonga Airport,Karonga,Malawi,-9.953570366,33.89300156,1765,2,U,Africa/Blantyre
KBQ,Kasungu Airport,Kasungu,Malawi,-13.0145998,33.46860123,3470,2,U,Africa/Blantyre
LLW,Lilongwe International Airport,Lilongwe,Malawi,-13.7894001,33.78099823,4035,2,U,Africa/Blantyre
ZZU,Mzuzu Airport,Mzuzu,Malawi,-11.44470024,34.01179886,4115,2,U,Africa/Blantyre
MSU,Moshoeshoe I International Airport,Maseru,Lesotho,-29.46229935,27.55249977,5348,2,U,Africa/Maseru
-,Mejametalana Airbase,Maseru,Lesotho,-29.30410004,27.50349998,5105,2,U,Africa/Maseru
FIH,Ndjili International Airport,Kinshasa,Congo (Kinshasa),-4.38575,15.4446,1027,1,N,Africa/Kinshasa
NLO,Ndolo Airport,Kinshasa,Congo (Kinshasa),-4.326660156,15.32750034,915,1,N,Africa/Kinshasa
MNB,Muanda Airport,Muanda,Congo (Kinshasa),-5.930860043,12.35179996,89,1,N,Africa/Kinshasa
-,Kitona Base Airport,Kitona Base,Congo (Kinshasa),-5.918059826,12.44769955,394,1,N,Africa/Kinshasa
FDU,Bandundu Airport,Bandoundu,Congo (Kinshasa),-3.311320066,17.38170052,1063,1,N,Africa/Kinshasa
KKW,Kikwit Airport,Kikwit,Congo (Kinshasa),-5.035769939,18.78560066,1572,1,N,Africa/Kinshasa
MDK,Mbandaka Airport,Mbandaka,Congo (Kinshasa),0.022600001,18.2887001,1040,1,N,Africa/Kinshasa
BDT,Gbadolite Airport,Gbadolite,Congo (Kinshasa),4.253210068,20.97529984,1509,1,N,Africa/Kinshasa
GMA,Gemena Airport,Gemena,Congo (Kinshasa),3.235369921,19.77129936,1378,1,N,Africa/Kinshasa
KLI,Kotakoli Airport,Kotakoli,Congo (Kinshasa),4.15763998,21.65089989,1801,1,N,Africa/Kinshasa
LIQ,Lisala Airport,Lisala,Congo (Kinshasa),2.17066,21.496901,1509,1,N,Africa/Kinshasa
FKI,Bangoka International Airport,Kisangani,Congo (Kinshasa),0.481638998,25.33799934,1417,2,U,Africa/Lubumbashi
IRP,Matari Airport,Isiro,Congo (Kinshasa),2.827610016,27.5883007,2438,2,U,Africa/Lubumbashi
BUX,Bunia Airport,Bunia,Congo (Kinshasa),1.565719962,30.2208004,4045,2,U,Africa/Lubumbashi
BZU,Buta Zega Airport,Buta Zega,Congo (Kinshasa),2.818350077,24.79369926,1378,2,U,Africa/Lubumbashi
BKY,Bukavu Kavumu Airport,Bukavu/kavumu,Congo (Kinshasa),-2.308979988,28.80879974,5643,2,U,Africa/Lubumbashi
GOM,Goma International Airport,Goma,Congo (Kinshasa),-1.670809984,29.2385006,5089,2,U,Africa/Kigali
KND,Kindu Airport,Kindu,Congo (Kinshasa),-2.919179916,25.91539955,1630,2,U,Africa/Lubumbashi
FBM,Lubumbashi International Airport,Lubumashi,Congo (Kinshasa),-11.59130001,27.53089905,4295,2,U,Africa/Lubumbashi
KWZ,Kolwezi Airport,Kolwezi,Congo (Kinshasa),-10.76589966,25.50569916,5007,2,U,Africa/Lubumbashi
FMI,Kalemie Airport,Kalemie,Congo (Kinshasa),-5.875559807,29.25,2569,2,U,Africa/Lubumbashi
KMN,Kamina Base Airport,Kamina Base,Congo (Kinshasa),-8.642020226,25.25289917,3543,2,U,Africa/Lubumbashi
KGA,Kananga Airport,Kananga,Congo (Kinshasa),-5.900050163,22.46920013,2139,2,U,Africa/Lubumbashi
MJM,Mbuji Mayi Airport,Mbuji-mayi,Congo (Kinshasa),-6.121240139,23.56900024,2221,2,U,Africa/Lubumbashi
BKO,Modibo Keita International Airport,Bamako,Mali,12.5335,-7.94994,1247,0,N,Africa/Bamako
GAQ,Gao Airport,Gao,Mali,16.24839973,-0.005456,870,0,N,Africa/Bamako
KYS,Kayes Dag Dag Airport,Kayes,Mali,14.48120022,-11.40439987,164,0,N,Africa/Bamako
MZI,Mopti Airport,Mopti,Mali,14.51280022,-4.079559803,906,0,N,Africa/Bamako
TOM,Timbuktu Airport,Tombouctou,Mali,16.73049927,-3.007580042,863,0,N,Africa/Bamako
-,Tessalit Airport,Tessalit,Mali,20.24300003,0.977307975,1621,0,N,Africa/Bamako
BJL,Banjul International Airport,Banjul,Gambia,13.3380003,-16.6522007,95,0,N,Africa/Banjul
FUE,Fuerteventura Airport,Fuerteventura,Spain,28.45269966,-13.86380005,85,0,E,Atlantic/Canary
VDE,Hierro Airport,Hierro,Spain,27.81480026,-17.88710022,103,0,E,Atlantic/Canary
SPC,La Palma Airport,Santa Cruz De La Palma,Spain,28.626499,-17.7556,107,0,E,Atlantic/Canary
LPA,Gran Canaria Airport,Gran Canaria,Spain,27.93190002,-15.38659954,78,0,E,Atlantic/Canary
ACE,Lanzarote Airport,Arrecife,Spain,28.945499,-13.6052,46,0,E,Atlantic/Canary
TFS,Tenerife South Airport,Tenerife,Spain,28.04450035,-16.57250023,209,0,E,Atlantic/Canary
TFN,Tenerife Norte Airport,Tenerife,Spain,28.48270035,-16.34149933,2076,0,E,Atlantic/Canary
MLN,Melilla Airport,Melilla,Spain,35.27980042,-2.956259966,156,1,E,Europe/Madrid
FNA,Lungi International Airport,Freetown,Sierra Leone,8.61644,-13.1955,84,0,N,Africa/Freetown
-,Cufar Airport,Cufar,Guinea-Bissau,11.28789997,-15.18050003,65,0,N,Africa/Bissau
MLW,Spriggs Payne Airport,Monrovia,Liberia,6.289060116,-10.75870037,25,0,N,Africa/Monrovia
ROB,Roberts International Airport,Monrovia,Liberia,6.23379,-10.3623,31,0,N,Africa/Monrovia
AGA,Al Massira Airport,Agadir,Morocco,30.32500076,-9.413069725,250,0,N,Africa/Casablanca
TTA,Tan Tan Airport,Tan Tan,Morocco,28.44820023,-11.16129971,653,0,N,Africa/Casablanca
FEZ,Saïss Airport,Fes,Morocco,33.9272995,-4.97796011,1900,0,N,Africa/Casablanca
-,Ifrane Airport,Ifrane,Morocco,33.50529861,-5.152900219,5459,0,N,Africa/Casablanca
ERH,Moulay Ali Cherif Airport,Er-rachidia,Morocco,31.94750023,-4.398330212,3428,0,N,Africa/Casablanca
MEK,Bassatine Airport,Meknes,Morocco,33.8791008,-5.515120029,1890,0,N,Africa/Casablanca
OUD,Angads Airport,Oujda,Morocco,34.78720093,-1.923990011,1535,0,N,Africa/Casablanca
GMD,Ben Slimane Airport,Ben Slimane,Morocco,33.655399,-7.22145,627,0,N,Africa/Casablanca
RBA,Rabat-Salé Airport,Rabat,Morocco,34.051498,-6.75152,276,0,N,Africa/Casablanca
CMN,Mohammed V International Airport,Casablanca,Morocco,33.36750031,-7.589970112,656,0,N,Africa/Casablanca
RAK,Menara Airport,Marrakech,Morocco,31.60689926,-8.036299706,1545,0,N,Africa/Casablanca
NNA,Kenitra Airport,Kentira,Morocco,34.2989006,-6.595880032,16,0,N,Africa/Casablanca
OZZ,Ouarzazate Airport,Ouarzazate,Morocco,30.93910027,-6.909430027,3782,0,N,Africa/Casablanca
AHU,Cherif Al Idrissi Airport,Al Hociema,Morocco,35.17710114,-3.839519978,95,0,N,Africa/Casablanca
TTU,Saniat R'mel Airport,Tetouan,Morocco,35.59429932,-5.320020199,10,0,N,Africa/Casablanca
TNG,Ibn Batouta Airport,Tanger,Morocco,35.72689819,-5.916890144,62,0,N,Africa/Casablanca
ZIG,Ziguinchor Airport,Ziguinchor,Senegal,12.5556,-16.281799,75,0,N,Africa/Dakar
